AD_age,calage,Delta14C,Delta14C_sig,c14age,c14sig
770,1180,-18.6,0.4,1297.803657,3.343132925
771,1179,-18.5,0.4,1295.323736,3.406647879
772,1178,-18.8,0.4,1296.951824,2.954592908
773,1177,-19.7,0.4,1303.895819,3.127687267
774,1176,-14.6,0.4,1261.227988,2.874720349
775,1175,-4.3,0.4,1176.137979,2.876316146
776,1174,-2.0,0.4,1156.954576,2.950976743
777,1173,-2.6,0.4,1160.395482,3.195950036
778,1172,-4.6,0.4,1176.155687,3.476307431
779,1171,-5.4,0.4,1181.194447,3.570693855
780,1170,-6.0,0.4,1185.29157,3.510680561