Year,gaps,c14_age,c14_sig
0,0 ,1037,22 
-1,1 ,1049,14 
-2,2 ,1067,14 
-3,3 ,1051,14 
-4,4 ,1052,21 
-5,5 ,1048,20 
-6,6 ,1052,20 
-7,7 ,1058,20 
-16,16 ,1067,18 
-17,17 ,1049,13 
-18,18 ,1049,18 
-19,19 ,1028,18 
-20,20 ,1058,18 
-21,21 ,1042,13 
-22,22 ,1029,18 
-23,23 ,1026,13 
-24,24 ,1039,14 
-25,25 ,1048,18 
-26,26 ,1015,12 
-27,27 ,1040,14 
-28,28 ,1046,15 
-29,29 ,1088,14 
-30,30 ,1091,14 
-31,31 ,1099,18 
-32,32 ,1108,20 
-33,33 ,1109,20 
-34,34 ,1100,14 
-35,35 ,1126,20 
-36,36 ,1110,20 
-37,37 ,1133,20 
-38,38 ,1117,20 
-39,39 ,1116,20 
-40,40 ,1136,24 
-45,45 ,1118,20 
-50,50 ,1126,18 