,datno,setno,division,subdivision,calage,calspan,calsigI,calsigD,calsigC,calseqno,c14age,c14sig,c14addsig,c14mulsig,ReservoirAge,ReservoirSig,labid,Date_Modified,F,sdF
1,1,1,1,0,960,1,0,0,0,1,1057.485223,17.01750449,0,1,0,0,SWE01,01/11/2023,0.876654232,0.001857148
2,2,1,1,0,959,1,0,0,0,2,1071.176819,12.35590936,0,1,0,0,SWE01,01/11/2023,0.875161318,0.001346124
3,3,1,1,0,958,1,0,0,0,3,1090.342188,12.29144581,0,1,0,0,SWE01,01/11/2023,0.873075821,0.00133591
4,4,1,1,0,957,1,0,0,0,4,1008.331976,12.9949872,0,1,0,0,SWE01,01/11/2023,0.88203485,0.001426868
5,5,1,1,0,956,1,0,0,0,5,1007.128641,12.18495396,0,1,0,0,SWE01,01/11/2023,0.882166987,0.001338126
6,6,1,1,0,955,1,0,0,0,6,1018.422814,12.32379983,0,1,0,0,SWE01,01/11/2023,0.880927557,0.001351472
7,7,1,1,0,954,1,0,0,0,7,1012.47448,12.2656925,0,1,0,0,SWE01,01/11/2023,0.881580114,0.001346096
8,8,1,1,0,953,1,0,0,0,8,1026.865144,12.39772083,0,1,0,0,SWE01,01/11/2023,0.880002227,0.00135815
9,9,1,1,0,952,1,0,0,0,9,991.9577489,17.14526711,0,1,0,0,SWE01,01/11/2023,0.883834597,0.001886416
10,10,1,1,0,951,1,0,0,0,10,996.505872,17.29902302,0,1,0,0,SWE01,01/11/2023,0.883334329,0.001902256
11,11,1,1,0,950,1,0,0,0,11,998.8619847,12.34007456,0,1,0,0,SWE01,01/11/2023,0.883075281,0.001356556
12,12,1,2,0,959,1,0,0,0,1,1107.320607,16.65832916,0,1,0,0,SWE02,01/11/2023,0.871232451,0.001806707
13,13,1,2,0,958,1,0,0,0,2,1105.194039,12.07166547,0,1,0,0,SWE02,01/11/2023,0.871463122,0.001309599
14,14,1,2,0,957,1,0,0,0,3,1016.743216,12.09026165,0,1,0,0,SWE02,01/11/2023,0.881111767,0.001326139
15,15,1,2,0,956,1,0,0,0,4,1032.180071,17.12014815,0,1,0,0,SWE02,01/11/2023,0.879420178,0.001874244
16,16,1,2,0,955,1,0,0,0,5,1028.76132,17.1976316,0,1,0,0,SWE02,01/11/2023,0.879794528,0.001883528
17,17,1,2,0,954,1,0,0,0,6,1009.114104,17.21703304,0,1,0,0,SWE02,01/11/2023,0.881948975,0.001890271
18,18,1,2,0,953,1,0,0,0,7,1007.422326,17.30295635,0,1,0,0,SWE02,01/11/2023,0.882134736,0.001900104
19,19,1,2,0,952,1,0,0,0,8,1030.016128,16.94524991,0,1,0,0,SWE02,01/11/2023,0.879657109,0.001855597
20,20,1,2,0,951,1,0,0,0,9,1074.487683,16.79086028,0,1,0,0,SWE02,01/11/2023,0.874800688,0.001828539
21,21,1,2,0,950,1,0,0,0,10,1002.416138,17.34625102,0,1,0,0,SWE02,01/11/2023,0.882684656,0.001906046
22,22,1,3,0,960,1,0,0,0,1,1068.213716,16.28796802,0,1,0,0,SWE03,01/11/2023,0.875484195,0.00177516
23,23,1,3,0,959,1,0,0,0,2,1079.260008,16.08643384,0,1,0,0,SWE03,01/11/2023,0.874281132,0.001750786
24,24,1,3,0,958,1,0,0,0,3,1108.409416,16.57955274,0,1,0,0,SWE03,01/11/2023,0.871114371,0.001797919
25,25,1,3,0,958,1,0,0,0,4,1103.235553,15.75267426,0,1,0,0,SWE03,01/11/2023,0.871675615,0.001709352
26,26,1,3,0,957,1,0,0,0,5,1052.684136,15.70235659,0,1,0,0,SWE03,01/11/2023,0.877178339,0.001714648
27,27,1,3,0,957,1,0,0,0,6,1081.426051,16.40943938,0,1,0,0,SWE03,01/11/2023,0.87404542,0.001785459
28,28,1,3,0,956,1,0,0,0,7,1041.643681,15.52662286,0,1,0,0,SWE03,01/11/2023,0.87838475,0.00169779
29,29,1,3,0,956,1,0,0,0,8,1035.482947,15.21914623,0,1,0,0,SWE03,01/11/2023,0.879058667,0.001665445
30,30,1,3,0,955,1,0,0,0,9,1014.031649,15.85609699,0,1,0,0,SWE03,01/11/2023,0.881409239,0.001739787
31,31,1,3,0,954,1,0,0,0,10,1033.244044,15.50563251,0,1,0,0,SWE03,01/11/2023,0.879303706,0.001697269
32,32,1,3,0,953,1,0,0,0,11,1050.628971,15.35097264,0,1,0,0,SWE03,01/11/2023,0.877402785,0.001676707
33,33,1,3,0,952,1,0,0,0,12,1051.072752,15.33045359,0,1,0,0,SWE03,01/11/2023,0.877354314,0.001674373
34,34,1,3,0,951,1,0,0,0,13,1016.478598,15.75377094,0,1,0,0,SWE03,01/11/2023,0.881140792,0.001728033
35,35,1,3,0,950,1,0,0,0,14,1059.703788,15.28757374,0,1,0,0,SWE03,01/11/2023,0.876412149,0.001667897
36,36,1,4,0,959,1,0,0,0,1,1054.932777,16.12248415,0,1,0,0,SWE04,01/11/2023,0.876932828,0.001760032
37,37,1,4,0,958,1,0,0,0,2,1102.532159,15.76217478,0,1,0,0,SWE04,01/11/2023,0.871751945,0.001710532
38,38,1,4,0,958,1,0,0,0,3,1102.482648,15.83820693,0,1,0,0,SWE04,01/11/2023,0.871757318,0.001718794
39,39,1,4,0,957,1,0,0,0,4,1055.216108,15.52322196,0,1,0,0,SWE04,01/11/2023,0.876901899,0.001694553
40,40,1,4,0,957,1,0,0,0,5,1048.43406,15.85531593,0,1,0,0,SWE04,01/11/2023,0.877642556,0.001732267
41,41,1,4,0,956,1,0,0,0,6,1023.002056,15.73884573,0,1,0,0,SWE04,01/11/2023,0.880425524,0.001724995
42,42,1,4,0,956,1,0,0,0,7,997.8092389,15.9649058,0,1,0,0,SWE04,01/11/2023,0.883191018,0.001755267
43,43,1,4,0,955,1,0,0,0,8,989.7699864,16.16846547,0,1,0,0,SWE04,01/11/2023,0.884075339,0.001779428
44,44,1,4,0,954,1,0,0,0,9,983.7107303,16.29499116,0,1,0,0,SWE04,01/11/2023,0.884742445,0.001794706
45,45,1,4,0,953,1,0,0,0,10,996.5821209,15.89177285,0,1,0,0,SWE04,01/11/2023,0.883325944,0.001747493
46,46,1,4,0,952,1,0,0,0,11,1040.978927,15.44963572,0,1,0,0,SWE04,01/11/2023,0.878457442,0.001689512
47,47,1,4,0,951,1,0,0,0,12,1013.468382,16.6362837,0,1,0,0,SWE04,01/11/2023,0.881471045,0.00182552
48,48,1,4,0,950,1,0,0,0,13,1027.51395,16.92425932,0,1,0,0,SWE04,01/11/2023,0.879931154,0.001853876