,datno,setno,division,subdivision,calage,AD_cal,Delta14C,Delta14C_Sig,labid
1,1,1,1,0,962,988,-21.9,1.8,Miy14
2,2,1,1,0,961,989,-21.3,1.8,Miy14
3,3,1,1,0,960,990,-22.5,1.7,Miy14
4,4,1,1,0,959,991,-23.1,1.9,Miy14
5,5,1,1,0,958,992,-24.4,1.9,Miy14
6,6,1,1,0,957,993,-25.3,1.7,Miy14
7,7,1,1,0,956,994,-14,1.8,Miy14
8,8,1,1,0,955,995,-18.1,1.7,Miy14
9,9,1,1,0,954,996,-16.7,1.7,Miy14
10,10,1,1,0,953,997,-16.4,1.7,Miy14
11,11,1,2,0,961,989,-20.2,1.9,Miy13
12,12,1,2,0,960,990,-25.3,2.9,Miy13
13,13,1,2,0,959,991,-21.5,1.5,Miy13
14,14,1,2,0,958,992,-22.8,2,Miy13
15,15,1,2,0,957,993,-20.7,1.6,Miy13
16,16,1,2,0,956,994,-11.5,2,Miy13
17,17,1,2,0,955,995,-12.9,1.5,Miy13
18,18,1,2,0,954,996,-11.3,2,Miy13
19,19,1,2,0,953,997,-14.2,2,Miy13
20,20,1,2,0,952,998,-15.3,2,Miy13
21,21,1,2,0,951,999,-13.3,1.6,Miy13